id,title,popularity,release_date
146216,RED 2,4.434e+01,2013-07-18
16428,Breakin' All the Rules,6.905e+00,2004-05-14
310569,The Second Mother,9.684e+00,2015-02-08
52451,The Three Musketeers,3.661e+01,2011-08-31
5137,Sky Captain and the World of Tomorrow,2.466e+01,2004-09-17
10913,Dear Wendy,2.598e+00,2005-01-22
121676,Inescapable,6.783e+00,2012-09-14
9344,Kids,1.329e+01,1995-07-28
17917,Oliver!,8.306e+00,1968-09-26
9839,Beyond Borders,6.523e+00,2003-10-23
10428,Hackers,1.784e+01,1995-09-14
45054,There Be Dragons,6.669e+00,2011-03-25
12100,Windtalkers,1.871e+01,2002-06-14
72113,Carnage,2.001e+01,2011-09-16
62677,Songcatcher,3.363e+00,2001-03-01
41439,Saw: The Final Chapter,3.613e+01,2010-10-21
283445,Sinister 2,2.609e+01,2015-08-19
79694,The Apparition,6.385e+00,2012-08-23
20766,The Road,4.108e+01,2009-11-25
13938,The Last Dragon,4.929e+00,1985-03-22
1487,Hellboy,4.748e+01,2004-04-02
11561,Sleeper,1.066e+01,1973-12-17
67911,Bucky Larson: Born to Be a Star,3.919e+00,2011-09-09
2292,Clerks,1.975e+01,1994-09-13
25769,Carriers,1.271e+01,2009-09-04
77931,The Smurfs 2,3.247e+01,2013-07-30
39303,2:13,1.272e+00,2009-04-25
10329,Congo,1.076e+01,1995-06-09
10934,Under the Tuscan Sun,1.231e+01,2003-04-30
127867,The Brass Teapot,1.064e+01,2012-09-08
75780,Jack Reacher,5.687e+01,2012-12-20
11702,The Replacement Killers,9.607e+00,1998-02-06
53862,Trippin',1.854e-01,1999-05-12
12277,Undercover Brother,6.086e+00,2002-05-31
9614,Happy Gilmore,2.660e+01,1996-02-16
10156,History of the World: Part I,1.428e+01,1981-06-12
8060,Married Life,3.004e+00,2007-09-12
83686,The Words,1.499e+01,2012-09-07
805,Rosemary's Baby,2.618e+01,1968-06-12
92591,Bernie,1.269e+01,2012-04-27
44040,Devil,3.093e+01,2010-01-13
112456,Hardflip,3.415e-01,2012-06-01
43595,She Done Him Wrong,6.228e-01,1933-02-09
7973,Caramel,4.555e+00,2007-07-01
334527,Criminal Activities,6.665e+00,2015-11-20
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1.290e+01,1989-07-28
228150,Fury,1.396e+02,2014-10-15
82682,Gangster Squad,2.904e+01,2013-01-10
116741,The Internship,1.551e+00,2013-06-07
14043,Nancy Drew,5.035e+00,2007-06-15
37950,Charlie St. Cloud,2.175e+01,2010-05-01
67238,Cavite,2.217e-02,2005-03-12
48034,Little White Lies,1.528e+01,2010-10-20
10727,Darkness Falls,1.120e+01,2003-01-24
20455,Digimon: The Movie,3.739e+00,2000-03-17
15797,Only the Strong,5.411e+00,1993-08-27
522,Ed Wood,2.455e+01,1994-09-27
10528,Sherlock Holmes,5.783e+01,2009-12-23
44115,127 Hours,5.246e+01,2010-11-05
325789,The Infiltrator,2.467e+01,2016-07-13
72976,Lincoln,3.631e+01,2012-11-09
15511,VeggieTales: The Pirates Who Don't Do Anything,1.800e+00,2008-01-11
10733,The Alamo,1.066e+01,2004-04-07
20483,Catch That Kid,4.493e+00,2004-02-06
281189,Gory Gory Hallelujah,3.388e-02,2003-11-05
364,Batman Returns,5.911e+01,1992-06-19
400,Things to Do in Denver When You're Dead,6.932e+00,1995-12-01
809,Shrek 2,4.732e+01,2004-05-19
22538,Scott Pilgrim vs. the World,3.889e+01,2010-07-27
6114,Dracula,4.502e+01,1992-11-13
219,Volver,1.975e+01,2006-03-16
367551,American Hero,5.023e+00,2015-12-11
87825,Trouble with the Curve,1.859e+01,2012-09-21
9282,11:14,1.505e+01,2003-05-16
71805,Shipwrecked,7.030e-01,1990-10-03
43266,How Green Was My Valley,7.700e+00,1941-10-28
13503,Texas Rangers,5.642e+00,2001-11-30
9946,End of Days,2.065e+01,1999-11-24
57612,Dolphins and Whales: Tribes of the Ocean,4.165e-02,2008-02-15
180296,They Came Together,1.204e+01,2014-06-27
177677,Mission: Impossible - Rogue Nation,1.145e+02,2015-07-23
8374,The Boondock Saints,3.492e+01,1999-01-22
6933,One Missed Call,1.246e+01,2008-01-04
266396,The Gunman,2.694e+01,2015-02-16
56666,Fiza,4.302e-02,2000-09-08
2355,Reign Over Me,2.083e+01,2007-03-23
20065,Purple Violets,9.362e-01,2007-04-30
37495,Four Lions,2.054e+01,2010-05-07
3766,The Lady from Shanghai,8.055e+00,1947-12-24
13363,The Man from Earth,3.134e+01,2007-06-10
11313,Hearts in Atlantis,7.068e+00,2001-09-07
157386,The Spectacular Now,2.572e+01,2013-08-02
189711,Love in the Time of Monsters,1.336e-01,2014-03-08
17734,Thirteen Conversations About One Thing,6.997e+00,2001-09-02
196867,Annie,3.344e+01,2014-12-19
8909,Wanted,7.382e+01,2008-06-19
2539,Spanglish,1.421e+01,2004-12-17
9513,Garfield: A Tail of Two Kitties,1.693e+01,2006-06-15
1891,The Empire Strikes Back,7.852e+01,1980-05-17
6521,The Contender,7.029e+00,2000-10-13
25066,Tales from the Hood,3.892e+00,1995-05-24
10560,Center Stage,6.962e+00,2000-05-12
99826,The Jimmy Show,9.835e-02,2002-01-16
67913,The Guard,1.941e+01,2011-07-07
9802,The Rock,5.147e+01,1996-06-06
11398,The Art of War,7.832e+00,2000-08-23
271969,Ben-Hur,2.961e+01,2016-08-17
187,Sin City,6.600e+01,2005-04-01
150540,Inside Out,1.287e+02,2015-06-09
2661,Batman,9.815e+00,1966-07-30
11531,Book of Shadows: Blair Witch 2,3.890e+00,2000-10-27
11551,Small Soldiers,2.309e+01,1998-07-10
46738,Incendies,2.129e+01,2010-09-04
9447,Babe: Pig in the City,1.136e+01,1998-11-25
357441,Karachi se Lahore,6.000e-02,2015-07-31
169,Predator 2,2.793e+01,1990-11-20
33542,Rumble in the Bronx,1.732e+01,1995-01-30
