id,budget,revenue
9471,120000000,2.592e+08
70981,130000000,4.032e+08
10996,120000000,1.700e+08
68724,115000000,2.861e+08
2789,105000000,1.158e+08
97020,120000000,2.427e+08
7459,120000000,9.395e+07
42888,120000000,4.867e+07
37834,117000000,2.619e+08
75612,120000000,2.862e+08
1895,113000000,8.500e+08
1894,120000000,6.494e+08
585,115000000,5.628e+08
76170,120000000,4.154e+08
1893,115000000,9.243e+08
49519,135000000,5.852e+08
2395,97250400,1.329e+08
12100,115000000,7.763e+07
290595,115000000,1.646e+08
98566,125000000,4.772e+08
49047,105000000,7.164e+08
9619,116000000,1.781e+08
308531,135000000,2.456e+08
166424,120000000,1.680e+08
1593,110000000,5.745e+08
254128,110000000,4.705e+08
714,110000000,3.330e+08
2024,110000000,2.153e+08
163,110000000,3.627e+08
787,110000000,4.782e+08
262500,110000000,2.952e+08
2567,116000000,1.020e+08
38745,112000000,2.374e+08
40805,120000000,2.278e+08
53182,110000000,3.376e+08
41513,110000000,5.637e+08
13700,110000000,1.040e+08
262504,110000000,1.792e+08
39254,110000000,2.993e+08
77931,105000000,3.474e+08
1639,160000000,1.645e+08
80274,110000000,1.255e+08
1571,110000000,3.835e+08
120,93000000,8.714e+08
10204,110000000,7.218e+07
8489,107000000,8.771e+07
2048,120000000,3.472e+08
1495,130000000,2.116e+08
10137,133000000,3.001e+08
10198,105000000,2.670e+08
286217,108000000,6.302e+08
1635,126000000,1.629e+08
24113,90000000,1.037e+07
9679,90000000,2.372e+08
98,103000000,4.576e+08
180,102000000,3.584e+08
672,100000000,8.767e+08
36557,150000000,5.990e+08
869,100000000,3.622e+08
280,100000000,5.200e+08
11322,80000000,2.141e+08
4982,100000000,2.665e+08
36955,115000000,3.789e+08
18487,100000000,1.502e+08
39451,100000000,3.107e+08
27581,100000000,1.704e+08
9268,100000000,2.423e+08
68718,100000000,4.254e+08
10545,100000000,1.001e+08
11688,100000000,1.693e+08
76163,100000000,3.126e+08
2059,100000000,3.475e+08
2486,100000000,2.493e+08
16523,100000000,1.001e+08
116711,100000000,2.684e+08
37710,100000000,2.787e+08
9946,100000000,2.120e+08
1372,100000000,1.709e+08
106646,100000000,3.920e+08
414,100000000,3.365e+08
563,105000000,1.212e+08
83542,102000000,1.305e+08
41216,80000000,1.401e+08
314,100000000,8.210e+07
184315,100000000,2.434e+08
9016,140000000,1.096e+08
18162,100000000,6.869e+07
138103,90000000,2.062e+08
257088,105000000,1.337e+08
205775,100000000,9.382e+07
11692,100000000,7.104e+06
22972,100000000,9.488e+07
227973,99000000,2.462e+08
29193,10000000,1.384e+07
1734,98000000,4.330e+08
3131,100000000,1.938e+08
76758,94000000,9.531e+07
9408,85000000,1.490e+08
9890,90000000,1.020e+08
855,92000000,1.730e+08
18,90000000,2.639e+08
37786,100000000,2.883e+08
10501,95000000,7.643e+07
57800,95000000,8.772e+08
150689,95000000,5.435e+08
7980,65000000,9.353e+07
12,94000000,9.403e+08
122,94000000,1.119e+09
121,79000000,9.263e+08
68737,95000000,1.142e+08
1995,115000000,2.747e+08
157353,100000000,1.030e+08
331,93000000,3.688e+08
61791,93000000,4.829e+08
8204,90000000,1.628e+08
47964,92000000,3.047e+08
10733,145000000,2.582e+07
9806,92000000,6.314e+08
1408,98000000,1.002e+07
32657,95000000,2.265e+08
607,90000000,5.894e+08
863,90000000,4.974e+08
44048,100000000,1.678e+08
5175,90000000,3.473e+08
2655,100000000,1.555e+08
22794,100000000,2.430e+08
8355,90000000,8.867e+08
116745,90000000,1.881e+08
4327,92000000,2.641e+08
1422,90000000,2.898e+08
10674,90000000,3.043e+08
7446,92000000,1.881e+08
65754,90000000,2.326e+08
1572,90000000,3.661e+08
10528,90000000,5.240e+08
271969,100000000,9.406e+07
10865,120000000,1.861e+08
2253,75000000,2.003e+08
10661,90000000,2.016e+08
257344,88000000,2.436e+08
644,100000000,2.359e+08
10756,90000000,1.823e+08
686,90000000,1.711e+08
9383,95000000,1.902e+08
179,80000000,1.629e+08
76285,90000000,1.746e+08
1996,95000000,1.565e+08
291805,90000000,3.349e+08
10003,68000000,1.181e+08
1535,92000000,1.430e+08
2067,90000000,6.087e+07
46195,90000000,4.846e+08
2277,100000000,9.370e+07
4477,90000000,1.408e+08
8665,100000000,3.517e+07
9387,20000000,7.911e+07
921,88000000,1.085e+08
49852,90000000,1.618e+07
4464,87000000,1.483e+08
664,92000000,4.945e+08
8358,90000000,4.296e+08
9836,100000000,3.843e+08
2502,75000000,2.885e+08
9772,85000000,3.152e+08
161,85000000,4.507e+08
52451,75000000,1.323e+08
76492,85000000,3.584e+08
4523,85000000,3.405e+08
59961,85000000,2.081e+08
10481,85000000,1.836e+08
59108,75000000,1.529e+08
1581,85000000,1.942e+08
9798,90000000,2.506e+08
22897,85000000,2.191e+08
298,85000000,3.113e+08
7484,85000000,1.973e+08
157350,85000000,2.887e+08
853,68000000,9.698e+07
10159,85000000,8.092e+07
9593,85000000,1.373e+08
1904,85000000,1.622e+08
9615,85000000,1.585e+08
297,90000000,1.429e+08
9884,85000000,7.838e+07
62764,85000000,1.830e+08
22538,60000000,4.766e+07
9341,60000000,7.421e+07
12107,84000000,1.233e+08
9637,84000000,2.757e+08
49049,50000000,4.104e+07
9339,82500000,2.377e+08
16281,8000000,2.103e+07
39691,85000000,1.125e+08
8247,85000000,2.222e+08
11253,85000000,1.604e+08
1949,65000000,8.479e+07
8452,82000000,9.609e+07
310,80000000,4.846e+08
27578,80000000,2.745e+08
954,80000000,4.577e+08
70160,75000000,6.912e+08
